Title,Location,Company,Salary,Sponsored,Description
Data Analyst,"Kochi, Kerala",EW Technologies,"₹50,000 - ₹60,000 a month",Organic,"Salesforce experience an advantage
Job Type: Full-time
Salary: ₹50,000.00 to ₹60,000.00 /month
Experience:
Analysis: 4 years (Preferred)
SQL: 4 years (Preferred)
Education:
Required
Additional Compensation:
Bonuses
Work Location:
One location"
Senior SQL Data Analyst,"Noida, Uttar Pradesh",DeepR Analytics,"₹6,00,000 - ₹12,00,000 a year",Organic,"**We're DeepR Analytics (www.deepranalytics.com), a company based out of Toronto, Canada, that develops algorithmic trading solutions and products primarily focused on merging innovative trading algorithms with recent advances in machine learning algorithms such as deep learning and reinforced learning to automate trading and reap profits. Another major responsibility for this team is to conduct quantitative research on various trading & markets related topics in order to improve our algorithms.
Responsibilities:
You will be part of the Algorithm trading desk, and responsible for quantitative research and data analysis
Quantitative research would involve:
Querying historical high-frequency market data to identify price patterns
Applying numerical analyses to draw insights from real-time financial market data.
Identifying good quantitative trading strategies.
General technical and fundamental capital markets research.
Enhance the firm’s trading activities by reviewing and analyzing trade executions and reconciliations
Prepare performance sheets & reports
**
Perks & Benefits:
Cutting-edge work equipment.
Two-way free transportation
Health Insurance for self & family
Health and wellness benefits
**
Requirements
University degree/college diploma in Computer Science and experience in systems analysis, programming, and database experience with extensive business knowledge
Advanced knowledge of SQL with a minimum of 4 years of experience
Advanced knowledge of Presto for writing queries and procedures
Solid understanding of database design and development methodology, including query optimization
Understanding of relevant and emerging database technologies and tools
Visualization skills using Tableau
Hands-on experience with large scale data warehousing and analytics projects
Experience with implementing AWS services in a variety of distributed computing & enterprise environments.
Strong interest in financial markets
Understanding of market data
Passion for observing markets in real-time
Exceptional attention to detail and desire to understand issues deeply
Some experience in Python, R, is preferred and enthusiasm about learning these languages is required
Strong knowledge of excel
Strong English communication skills
Initiator and good leadership skills
Willing to work in the night shift: 6:30 PM to 3:00 AM
Strong pattern recognition skills, strong memory and attention to detail
Job Type: Full-time
Salary: ₹600,000.00 to ₹1,200,000.00 /year
Experience:
work: 1 year (Required)
total work: 1 year (Required)
Education:
Bachelor's (Required)"
Data Scientist (3 month contract position),None,Beauty Matching Engine,"₹8,00,000 - ₹12,00,000 a year",Organic,"Role:
This is a 3-6 month full-time data scientist contract position with potential to become permanent position based on the performance.
Reporting to the Project Manager, focusing on exploratory data analysis and A/B testing for a live beauty product recommendations engine.
You’ll explore the rich behaviour data collected as people shop using our recommendations and the results from our A/B tests.
You’ll work closely with our technical and product teams to come up with questions and hypotheses about what’s working or could be improved, you’ll help design and interpret future A/B tests, and so you’ll help guide our product roadmap for improving the algorithm.
Requirements:
You have expertise in exploratory data analysis and visualisation (e.g. with SQL, Python/Pandas, R, or similar).
You love using data to answer high-level questions about how people use a product.
You have 3+ years of experience.
You have experience in e-commerce.
You are interested in beauty products.
You’re self-sufficient but work well in a team.
It would be a bonus if:
You have experience with recommendations algorithms, MongoDB, A/B testing.
You can communicate technical ideas, analyses and results clearly.
You have worked in a startup or to deadlines.
Benefits:
Work remotely from any location with flexible hours.
Opportunity to grow with the company and be offered a permanent role.
Work in one of the hottest BeautyTech startups, getting hands-on experience and learning more about the beauty industry.
Really make an impact instead of making coffees and photocopies - see your ideas come to life without layers of hierarchy.
A very friendly atmosphere.
About Us:
At Beauty Matching Engine, we want to take the guessing game out of the beauty shopping experience. We have built the world’s first beauty-specific recommendations engine, and we are helping some of the biggest beauty brands and retailers worldwide to provide great product recommendations to customers like you and me.
We’ve won many awards for our technology, including “Best Customer Experience using AI 2019” and we were finalists at the Retail Week Awards for Customer Innovation. We’re continuously in the press as one of the best companies in the world for combining beauty and AI, and we’ve been selected globally to take part in L’Oreal’s prestigious accelerator. You can see our technology at work on My Beauty Matches, Douglas and By Terry.
Job Types: Full-time, Contract
Salary: ₹800,000.00 to ₹1,200,000.00 /year
Experience:
ecommerce: 1 year (Required)
total work: 3 years (Required)
Work Remotely:
Yes"
Data Scientist,"Bengaluru, Karnataka",champions infometrics pvt ltd,"₹3,00,000 - ₹10,00,000 a year",Organic,"We are hiring Data Engineer / Data Scientist with below criteria.
Key Responsibilities
· Coordinate and direct projects through detailed plans and drive integration of business and technical activities
· Advise Champions’ clients on best practices in software development to maximise return on investment in projects
· Direct design and development of software platforms/products/product components using Microsoft .NET technologies
· Provide technical leadership for one or more development teams
· Work in a cross functional role in collaboration with business analytics teams
· Consistent focus on delivery quality and quantifiable process improvement
· Gain strong functional knowledge in the area of business analytics
Desired Profile
· Graduate(BE/B.Tech)/Masters(ME/M.Tech/MS) in Computer Science or equivalent from a premier institute (preferably IIT/NIT) with 6+ years’ experience
· WinForms and web Sourcing (Basic knowledge on data science )
· Experience in working closely with clients in implementation of business requirements
· Data oriented mindset with interest in deriving insights though data analysis
· Excellent knowledge of Microsoft .NET WinForms Applications and ASP MVC 4.0
· Experience on Object Oriented Design and Analysis, application design patterns
· Hands on experience in .Net 3.5/4.0, C# ,VB.Net, ADO.Net, web services, Simple Object Access Protocol (SOAP), XML, Json, XSD, SSLWCF, WF , WPF, LINQ, WEB 2.0, ASP.Net with Ajax, Web Services, XML/XSLT, DHTML, JQuery , ASP.Net MVC, Entity Framework
· Well versed with databases preferably Microsoft SQL server 2012 or higher
· Knowledge of HTML, CSS, JavaScript is a plus
· Experience with Agile methodologies like Scrum and Test Driven Development is a plus
· Strong knowledge of software development best practices
· Experience of developing web apps for various form factor devices is a plus
· Good hands-on experience with Code Repository tools (like SVN), Unit Testing Frame works (/JUnit/TestNG) and Java debugging tools
· Excellent verbal and written communication skills
· NoSQL Cassandra, MongoDB, DynamoDB is a plus
Thanks ,
Poojitha
Job Type: Full-time
Salary: ₹300,000.00 to ₹1,000,000.00 /year
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Data Analytics Internship,"Delhi, Delhi",Parliamentary Business,"₹5,000 a month",Organic,"About the company:
Parliamentary Business is a platform that provides comprehensive information on MPs', their performance, and the productivity of the parliament. It is a platform for the voters and their representatives in the Lok Sabha to maintain direct interaction.
About the internship/job:
Selected intern's day-to-day responsibilities include collecting data from other websites and maintaining them into database software.
Who can apply:
Only those students or freshers can apply who:
are available for full time (in-office) internship
have relevant skills and interests
can start the internship between 27th Jun'20 and 1st Aug'20
are available for duration of 6 months
have already graduated or are currently in any year of study
are from Delhi, Noida and neighboring cities
Females willing to start/restart their career may also apply
Other requirements:
Candidate should be from social science/political science background Should be 12th passed or pursuing graduation Should be proactive
Number of internships/jobs available: 10
Categories: Analytics,Data Science"
Data Scientist (Internship),"Indore, Madhya Pradesh",BugendaiTech,"₹4,00,000 - ₹7,00,000 a year",Organic,"Functional Area Other
Industry Type IT-Software-Software Services
Keywords Internship
Key Responsibilities

Explore and analyze large datasets
Help build models using NLP and other ML algorithms
Use analytical tools to extract and transform data
Use best practices for training, testing and validation to build more effective models Key Requirements

Comfortable manipulating, analyzing and transforming high- volume data
Experience in NLP/ML projects
Proficiency in Python
Proficiency with SQL
Expertise in statistical analysis
Excellent problem- solving and analytical skills
Excellent written and verbal communication skills
Enjoy working in a team
Desired Candidate Profile
Profile Description
NA
Under Graduate Qualification
PG Qualifications Any PG Course (Any Specialization)
Note: Candidate should have either UG or PG qualifications"
Data Analyst,"Jaipur, Rajasthan",Designour,"₹20,000 - ₹30,000 a month",Organic,"You need to look at our dashboard daily, interpret the data, and turn it into insights / information on how we can improve the product. You need to be good with numbers, statistics, logic.
MUST HAVE HIGHLY FUNCTIONAL ANALYTICAL ABILITY.
MUST BE HIGHLY LOGICAL
Job Types: Full-time, Part-time, Contract
Salary: ₹20,000.00 to ₹30,000.00 /month
Experience:
data analysis work: 1 year (Preferred)
total work: 3 years (Required)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
Python Machine Learning & Data Science Fresher Intern,"Nagpur, Maharashtra",Softtronix IT Solution,None,Organic,"Job Summary
Developing a project on Python , Machine Learning, Data Science
Key Skills
C,C++, Python , Machine Learning, Data Science
Job Types: Full-time, Internship, Fresher
Education:
Bachelor's (Preferred)
Selection rounds:
Technical Interview
Industry:
Software Development
Work Remotely:
Temporarily due to COVID-19"
Data Scientist - eCommerce,None,Bliss Vista,"₹22,000 - ₹30,000 a month",Organic,"We are looking for a strong, business savvy Data Scientist to join our startup and build in data from the ground up, developing models, proving data-driven insights, and frameworks to win customers (sales), and time better serve our customers.
Requirements:
Bachelor's degree
3+ years of relevant work experience in business analytics, data science, predictive analytics
Strong proficiency in relational databases - e.g. SQL, Redshift, Data Warehouse, etc.
Deep understanding of various algorithms and well versed with eg scikit learn, pandas, numpy, seaborn, matplotlib etc.
Strong verbal/written communication & data presentation skills, including an ability to effectively communicate with both business and technical teams
An ability to thrive in a highly ambiguous, fast-paced and rapidly-changing environment
Ability to lead large projects and drive through completion
Responsibilities include:
Setup the data environment (we’re a startup)
Model development
Testing multiple hypothesis
Hyper personalized marketing, sales, fraud detection, and risk management.
Experience with supervised learning, unsupervised learning, and reinforcement models.
Identify opportunities and key criteria to drive analytical reporting.
Conducting deep dive analyses of business problems and formulate conclusions and recommendations to be presented to senior leadership.
Producing written recommendations and insights for key stakeholders that will help shape effective metric development and reporting.
Simplifying and automating reporting, audits, and other data-driven activities; build solutions to have maximum scale and self-service ability by stakeholders.
Recognizing and adopting best practices in reporting and analysis: data integrity, analysis, and documentation.
Supporting business with time-critical tactical data analyses.
Understanding a broad range of data resources and know how, when, and which to use and which not to use.
Job Type: Full-time
Salary: ₹22,000.00 to ₹30,000.00 /month
Experience:
Analytics: 1 year (Required)
E-Commerce: 2 years (Required)
Machine Learning: 1 year (Required)
Communication Skills: 1 year (Required)
Python: 2 years (Required)
business analytics, data science, predictive analytics: 3 years (Required)
Work Remotely:
Yes"
Data Scientist,"New Delhi, Delhi",Sentieo,None,Organic,"Sentieo is powering the future of financial and corporate research in a $30B market. Our vision is to create a world where competitive organizations have the insights they need to win. Built by former hedge fund analysts, we empower competitive investors and corporations to rapidly discover insights so they can make smarter investments and execute winning strategies. Supporting a global customer base of over 900 clients, we are excited to propel Sentieo into the next phase of our company’s global growth - from advanced, unprecedented product development to accelerated team scaling and expansion. Join our team as we reimagine the future of fintech.

We are looking for a Senior Data Scientist to mine our vast database of 30 Million+ financial documents in order to develop tools that make our users better investors. You will be joining a small(but growing team) where you will have a major voice in deciding which projects to undertake. We'relooking for individuals who are excited about the opportunity to build data science tools that can give investors an edge. NLP + Investing/Quant experience is a major plus.

What you'll do:
Selecting and engineering features to build and based on mining of our large text and
financials database.
Prototyping/Testing algorithms to help inform us what to build.
Training and tuning a variety of machine learning models.
Data mining using NLP & state-of-the-art methods.
Enhancing data collection procedures to include information that is relevant for building analytic systems.

What you'll bring:
Knowledge and hands-on working experience with ML techniques and tools.
Strong understanding of basic statistics concepts including population, confidence intervals,correlation, significance,probability,distributions, hypothesis testing, etc.
Strong grounded concepts and application knowledge of ML techniques including
linear/logistic regression,decision trees,classification,clustering,ensembles,text mining to build models.
Hands-on experience with Python and familiarity with machine learning frameworks.
Comfortable with data visualization tools like pandas,seaborn and matplotlib.
Ability to work independently and collaboratively within a team.
Life at Sentieo:
Join a fun & tight-knit team that values transparency and is serious about building and maintaining a great culture.
Comprehensive health benefits.
Flexible vacation & sick policy.
Daily Breakfast and unlimited snack food.
Fun team outings (offsites, happy hours, etc.).

EEO

Our company values diversity and believes diverse teams make innovation possible. We work on complex, difficult problems with no linear or clear solutions. We believe that a diverse team can bring different perspectives and approaches, and whose experiences reflect the full set of clients we seek to serve. As such, Sentieo is committed to a diverse representation among our employees."
